time,mouse_dx,mouse_dy,mouse_scroll
2021-06-11T18:31:20.993,0,0,0
2021-06-11T18:31:20.997,0,0,0
2021-06-11T18:31:21.001,0,0,0
2021-06-11T18:31:21.007,0,0,0
2021-06-11T18:31:21.012,0,0,0
2021-06-11T18:31:21.017,0,0,0
2021-06-11T18:31:21.021,0,0,0
2021-06-11T18:31:21.026,0,0,0
2021-06-11T18:31:21.031,0,0,0
2021-06-11T18:31:21.036,0,0,0
2021-06-11T18:31:21.040,0,0,0
2021-06-11T18:31:21.043,0,0,0
2021-06-11T18:31:21.048,0,0,0
2021-06-11T18:31:21.052,0,0,0
2021-06-11T18:31:21.056,0,0,0
2021-06-11T18:31:21.059,0,0,0
2021-06-11T18:31:21.064,0,0,0
2021-06-11T18:31:21.069,0,0,0
2021-06-11T18:31:21.074,0,0,0
2021-06-11T18:31:21.078,0,0,0
2021-06-11T18:31:21.082,0,0,0
2021-06-11T18:31:21.088,0,0,0
2021-06-11T18:31:21.090,0,0,0
2021-06-11T18:31:21.095,0,0,0
2021-06-11T18:31:21.100,0,0,0
2021-06-11T18:31:21.104,0,0,0
2021-06-11T18:31:21.108,0,0,0
2021-06-11T18:31:21.112,0,0,0
2021-06-11T18:31:21.117,0,0,0
2021-06-11T18:31:21.121,0,0,0
2021-06-11T18:31:21.123,0,0,0
2021-06-11T18:31:21.127,0,0,0
2021-06-11T18:31:21.132,0,0,0
2021-06-11T18:31:21.135,0,0,0
2021-06-11T18:31:21.140,0,0,0
2021-06-11T18:31:21.144,0,0,0
2021-06-11T18:31:21.150,0,0,0
2021-06-11T18:31:21.153,0,0,0
2021-06-11T18:31:21.156,0,0,0
2021-06-11T18:31:21.161,0,0,0
2021-06-11T18:31:21.165,0,0,0
2021-06-11T18:31:21.171,0,0,0
2021-06-11T18:31:21.175,0,0,0
2021-06-11T18:31:21.179,0,0,0
2021-06-11T18:31:21.182,0,0,0
2021-06-11T18:31:21.186,0,0,0
2021-06-11T18:31:21.190,0,0,0
2021-06-11T18:31:21.193,0,0,0
2021-06-11T18:31:21.197,0,0,0
2021-06-11T18:31:21.202,0,0,0
2021-06-11T18:31:21.207,0,0,0
2021-06-11T18:31:21.210,0,0,0
2021-06-11T18:31:21.215,0,0,0
2021-06-11T18:31:21.220,0,0,0
2021-06-11T18:31:21.225,0,0,0
2021-06-11T18:31:21.228,0,0,0
2021-06-11T18:31:21.232,0,0,0
2021-06-11T18:31:21.237,0,0,0
2021-06-11T18:31:21.240,0,0,0
2021-06-11T18:31:21.245,0,0,0
2021-06-11T18:31:21.249,0,0,0
2021-06-11T18:31:21.254,0,0,0
2021-06-11T18:31:21.259,0,0,0
2021-06-11T18:31:21.265,0,0,0
2021-06-11T18:31:21.269,0,0,0
2021-06-11T18:31:21.273,0,0,0
2021-06-11T18:31:21.277,0,0,0
2021-06-11T18:31:21.283,0,0,0
