time,mouse_key
2021-06-11T18:30:39.069,"{}"
2021-06-11T18:30:39.072,"{}"
2021-06-11T18:30:39.075,"{}"
2021-06-11T18:30:39.080,"{}"
2021-06-11T18:30:39.084,"{}"
2021-06-11T18:30:39.089,"{}"
2021-06-11T18:30:39.093,"{}"
2021-06-11T18:30:39.098,"{}"
2021-06-11T18:30:39.102,"{}"
2021-06-11T18:30:39.108,"{}"
2021-06-11T18:30:39.114,"{}"
2021-06-11T18:30:39.119,"{}"
2021-06-11T18:30:39.124,"{}"
2021-06-11T18:30:39.130,"{}"
2021-06-11T18:30:39.132,"{}"
2021-06-11T18:30:39.137,"{}"
2021-06-11T18:30:39.140,"{}"
2021-06-11T18:30:39.144,"{}"
2021-06-11T18:30:39.149,"{}"
2021-06-11T18:30:39.152,"{}"
2021-06-11T18:30:39.156,"{}"
2021-06-11T18:30:39.160,"{}"
2021-06-11T18:30:39.164,"{}"
2021-06-11T18:30:39.169,"{}"
2021-06-11T18:30:39.174,"{}"
2021-06-11T18:30:39.178,"{}"
2021-06-11T18:30:39.182,"{}"
2021-06-11T18:30:39.186,"{}"
2021-06-11T18:30:39.189,"{}"
2021-06-11T18:30:39.195,"{}"
2021-06-11T18:30:39.198,"{}"
2021-06-11T18:30:39.203,"{}"
2021-06-11T18:30:39.207,"{}"
2021-06-11T18:30:39.212,"{}"
2021-06-11T18:30:39.216,"{}"
2021-06-11T18:30:39.222,"{}"
2021-06-11T18:30:39.226,"{}"
2021-06-11T18:30:39.232,"{}"
2021-06-11T18:30:39.236,"{}"
2021-06-11T18:30:39.239,"{}"
2021-06-11T18:30:39.245,"{}"
2021-06-11T18:30:39.248,"{}"
2021-06-11T18:30:39.253,"{}"
2021-06-11T18:30:39.256,"{}"
2021-06-11T18:30:39.261,"{}"
2021-06-11T18:30:39.267,"{}"
2021-06-11T18:30:39.273,"{}"
2021-06-11T18:30:39.277,"{}"
2021-06-11T18:30:39.282,"{}"
2021-06-11T18:30:39.285,"{}"
2021-06-11T18:30:39.290,"{}"
2021-06-11T18:30:39.296,"{}"
2021-06-11T18:30:39.298,"{}"
2021-06-11T18:30:39.303,"{}"
2021-06-11T18:30:39.307,"{}"
2021-06-11T18:30:39.311,"{}"
2021-06-11T18:30:39.315,"{}"
2021-06-11T18:30:39.319,"{}"
2021-06-11T18:30:39.323,"{}"
2021-06-11T18:30:39.327,"{}"
2021-06-11T18:30:39.332,"{}"
2021-06-11T18:30:39.335,"{}"
2021-06-11T18:30:39.341,"{}"
2021-06-11T18:30:39.344,"{}"
2021-06-11T18:30:39.348,"{}"
2021-06-11T18:30:39.354,"{}"
2021-06-11T18:30:39.357,"{}"
2021-06-11T18:30:39.360,"{}"
2021-06-11T18:30:39.364,"{}"
2021-06-11T18:30:39.371,"{}"
2021-06-11T18:30:39.374,"{}"
2021-06-11T18:30:39.378,"{}"
2021-06-11T18:30:39.383,"{}"
2021-06-11T18:30:39.387,"{}"
2021-06-11T18:30:39.392,"{}"
2021-06-11T18:30:39.396,"{}"
2021-06-11T18:30:39.401,"{}"
2021-06-11T18:30:39.404,"{}"
2021-06-11T18:30:39.409,"{}"
