time,mouse_key
2021-06-07T14:52:37.853,"{}"
2021-06-07T14:52:37.857,"{}"
2021-06-07T14:52:37.861,"{}"
2021-06-07T14:52:37.865,"{}"
2021-06-07T14:52:37.869,"{}"
2021-06-07T14:52:37.874,"{}"
2021-06-07T14:52:37.880,"{}"
2021-06-07T14:52:37.883,"{}"
2021-06-07T14:52:37.888,"{}"
2021-06-07T14:52:37.893,"{}"
2021-06-07T14:52:37.896,"{}"
2021-06-07T14:52:37.901,"{}"
2021-06-07T14:52:37.904,"{}"
2021-06-07T14:52:37.909,"{}"
2021-06-07T14:52:37.914,"{}"
2021-06-07T14:52:37.918,"{}"
2021-06-07T14:52:37.921,"{}"
2021-06-07T14:52:37.927,"{}"
2021-06-07T14:52:37.931,"{}"
2021-06-07T14:52:37.936,"{}"
2021-06-07T14:52:37.939,"{}"
2021-06-07T14:52:37.943,"{}"
2021-06-07T14:52:37.947,"{}"
2021-06-07T14:52:37.951,"{}"
2021-06-07T14:52:37.954,"{}"
2021-06-07T14:52:37.958,"{}"
2021-06-07T14:52:37.963,"{}"
2021-06-07T14:52:37.968,"{}"
2021-06-07T14:52:37.972,"{}"
2021-06-07T14:52:37.976,"{}"
2021-06-07T14:52:37.980,"{}"
2021-06-07T14:52:37.984,"{}"
2021-06-07T14:52:37.988,"{}"
2021-06-07T14:52:37.992,"{}"
2021-06-07T14:52:37.996,"{}"
2021-06-07T14:52:38.000,"{}"
2021-06-07T14:52:38.004,"{}"
2021-06-07T14:52:38.008,"{}"
2021-06-07T14:52:38.014,"{}"
2021-06-07T14:52:38.018,"{}"
2021-06-07T14:52:38.022,"{}"
2021-06-07T14:52:38.027,"{}"
2021-06-07T14:52:38.031,"{}"
2021-06-07T14:52:38.035,"{}"
2021-06-07T14:52:38.039,"{}"
2021-06-07T14:52:38.043,"{}"
2021-06-07T14:52:38.047,"{}"
2021-06-07T14:52:38.051,"{}"
2021-06-07T14:52:38.055,"{}"
2021-06-07T14:52:38.059,"{}"
2021-06-07T14:52:38.063,"{}"
